match,market,home_team,away_team,line,over_price,under_price,agency
South Africa v West Indies,Total Match Fours,South Africa,West Indies,25.5,1.8,1.93,Sportsbet
India v New Zealand,Total Match Fours,India,New Zealand,29.5,1.78,1.95,Sportsbet
Australia v Sri Lanka,Total Match Fours,Australia,Sri Lanka,26.5,1.87,1.87,Sportsbet
Bangladesh v England,Total Match Fours,Bangladesh,England,21.5,1.78,1.96,Sportsbet
