match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Dayalan Hemalatha,India,New Zealand,NA,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Deepti Sharma,India,New Zealand,4.25,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Jemimah Rodrigues,India,New Zealand,NA,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Pooja Vastrakar,India,New Zealand,4.9,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Radha Yadav,India,New Zealand,4.8,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Shreyanka Rajesh Patil,India,New Zealand,4.4,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Arundhati Reddy,India,New Zealand,5.3,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Renuka Singh,India,New Zealand,5.3,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Harmanpreet Kaur,India,New Zealand,11,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Richa Ghosh,India,New Zealand,NA,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Sajeevan Sajana,India,New Zealand,8,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Shefali Verma,India,New Zealand,NA,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Smriti Mandhana,India,New Zealand,NA,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Sobhana Asha,India,New Zealand,5.7,Sportsbet
India v New Zealand,Top Team Wicket Taker,India,New Zealand,Yastika Harish Bhatia,India,New Zealand,NA,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Alyssa Healy,Australia,Sri Lanka,NA,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Georgia Wareham,Australia,Sri Lanka,4.7,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Alana King,Australia,Sri Lanka,5.6,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Ashleigh Gardner,Australia,Sri Lanka,5.3,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Beth Mooney,Australia,Sri Lanka,NA,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Darice Brown,Australia,Sri Lanka,5.2,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Megan Schutt,Australia,Sri Lanka,5.8,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Sophie Molineux,Australia,Sri Lanka,5.8,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Kim Garth,Australia,Sri Lanka,6.25,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Tayla Vlaeminck,Australia,Sri Lanka,6,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Annabel Sutherland,Australia,Sri Lanka,7.75,Sportsbet
Australia v Sri Lanka,Top Team Wicket Taker,Australia,Sri Lanka,Ellyse Perry,Australia,Sri Lanka,7,Sportsbet
