match,team,line,over_price,under_price,market,agency
Australia Women v Sri Lanka Women,Australia Women,6.5,2,1.8,First Over Runs - Team,Bet365
Australia Women v Sri Lanka Women,Sri Lanka Women,5.5,2.1,1.72,First Over Runs - Team,Bet365
Bangladesh Women v England Women,Bangladesh Women,4.5,2.2,1.66,First Over Runs - Team,Bet365
Bangladesh Women v England Women,England Women,6.5,2.1,1.72,First Over Runs - Team,Bet365
India Women v Pakistan Women,India Women,6.5,2.1,1.72,First Over Runs - Team,Bet365
India Women v Pakistan Women,Pakistan Women,4.5,1.8,2,First Over Runs - Team,Bet365
West Indies Women v Scotland Women,West Indies Women,5.5,1.72,2.1,First Over Runs - Team,Bet365
West Indies Women v Scotland Women,Scotland Women,4.5,1.9,1.9,First Over Runs - Team,Bet365
