match,home_team,away_team,market_name,home_price,tie_price,away_price,agency
South Africa v West Indies,South Africa,West Indies,Highest Opening Partnership,1.95,21,1.85,TopSport
India v New Zealand,India,New Zealand,Highest Opening Partnership,1.7,23,2.12,TopSport
