match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Bangladesh v England,Player Runs,Bangladesh,England,Alice Capsey,15.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Alyssa Healy,22.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Amelia Kerr,18.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Anne Bosch,14.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Ashleigh Gardner,18.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Beth Mooney,28.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Chamari Atapattu,23.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Danielle Wyatt,17.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Dayalan Hemalatha,13.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Deandra Dottin,15.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Ellyse Perry,26.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Georgia Ellen Plimmer,12.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Harmanpreet Kaur,19.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Harshitha Madavi,18.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Hayley Matthews,21.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Kavisha Dilhari,11.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Laura Wolvaardt,21.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Maia Bouchier,16.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Marizanne Kapp,17.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Murshida Khatun,11.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Natalie Ruth Sciver-Brunt,20.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Shathi Rani,10.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Shefali Verma,19.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Shemaine Altia Campbelle,12.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Smriti Mandhana,23.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Sobhana Mostari,11.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Sophie Devine,18.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Stafanie Taylor,17.5,1.88,1.88,Sportsbet
India v New Zealand,Player Runs,India,New Zealand,Suzie Bates,18.5,1.88,1.88,Sportsbet
Bangladesh v England,Player Runs,Bangladesh,England,Taj Nehar,9.5,1.88,1.88,Sportsbet
South Africa v West Indies,Player Runs,South Africa,West Indies,Tazmin Brits,17.5,1.88,1.88,Sportsbet
Australia v Sri Lanka,Player Runs,Australia,Sri Lanka,Vishmi Gunaratne,14.5,1.88,1.88,Sportsbet
