match,market,team,home_team,away_team,line,over_price,under_price,agency
South Africa v West Indies,Fall of 1st Wicket - Team,South Africa Women,South Africa,West Indies,20.5,1.83,1.83,Sportsbet
South Africa v West Indies,Fall of 1st Wicket - Team,West Indies Women,South Africa,West Indies,20.5,1.83,1.83,Sportsbet
India v New Zealand,Fall of 1st Wicket - Team,India,India,New Zealand,22.5,1.83,1.83,Sportsbet
India v New Zealand,Fall of 1st Wicket - Team,New Zealand Women,India,New Zealand,16.5,1.83,1.83,Sportsbet
Australia v Sri Lanka,Fall of 1st Wicket - Team,Australia,Australia,Sri Lanka,26.5,1.83,1.83,Sportsbet
Australia v Sri Lanka,Fall of 1st Wicket - Team,Sri Lanka Women,Australia,Sri Lanka,19.5,1.83,1.83,Sportsbet
Bangladesh v England,Fall of 1st Wicket - Team,Bangladesh,Bangladesh,England,11.5,1.83,1.83,Sportsbet
Bangladesh v England,Fall of 1st Wicket - Team,England,Bangladesh,England,17.5,1.83,1.83,Sportsbet
