match,home_team,away_team,market,player_name,line,over_price,agency
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Laura Wolvaardt,0.5,2.9,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Laura Wolvaardt,1.5,6.5,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Laura Wolvaardt,2.5,10,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Laura Wolvaardt,3.5,12,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Marizanne Kapp,0.5,2.45,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Marizanne Kapp,1.5,5.5,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Marizanne Kapp,2.5,9,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Marizanne Kapp,3.5,11,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Hayley Matthews,0.5,2.2,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Hayley Matthews,1.5,4.5,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Hayley Matthews,2.5,7.5,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Hayley Matthews,3.5,10,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Stafanie Taylor,0.5,2.9,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Stafanie Taylor,1.5,6.5,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Stafanie Taylor,2.5,10,Pointsbet
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Number of 6s,Stafanie Taylor,3.5,12,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Smriti Mandhana,0.5,2.2,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Smriti Mandhana,1.5,4.5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Smriti Mandhana,2.5,7.5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Smriti Mandhana,3.5,10,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Shafali Verma,0.5,1.98,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Shafali Verma,1.5,3.8,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Shafali Verma,2.5,6.5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Shafali Verma,3.5,9,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Harmanpreet Kaur,0.5,2.45,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Harmanpreet Kaur,1.5,5.5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Harmanpreet Kaur,2.5,9,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Harmanpreet Kaur,3.5,11,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Amelia Kerr,0.5,2.9,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Amelia Kerr,1.5,6.5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Amelia Kerr,2.5,10,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Amelia Kerr,3.5,12,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Sophie Devine,0.5,1.83,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Sophie Devine,1.5,3.2,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Sophie Devine,2.5,5,Pointsbet
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Number of 6s,Sophie Devine,3.5,7.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Beth Mooney,0.5,2.45,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Beth Mooney,1.5,5.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Beth Mooney,2.5,9,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Beth Mooney,3.5,11,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Alyssa Healy,0.5,2.1,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Alyssa Healy,1.5,4.2,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Alyssa Healy,2.5,7,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Alyssa Healy,3.5,9.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ellyse Perry,0.5,2.45,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ellyse Perry,1.5,5.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ellyse Perry,2.5,9,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ellyse Perry,3.5,11,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ashleigh Gardner,0.5,1.98,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ashleigh Gardner,1.5,3.8,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ashleigh Gardner,2.5,6.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Ashleigh Gardner,3.5,9,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Chamari Athapaththu,0.5,2.9,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Chamari Athapaththu,1.5,6.5,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Chamari Athapaththu,2.5,10,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Number of 6s,Chamari Athapaththu,3.5,12,Pointsbet
