match,market,home_team,away_team,team,overs,line,over_price,under_price,agency
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,South Africa Women,6,38.5,1.83,1.8,Sportsbet
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,West Indies Women,6,35.5,1.83,1.83,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,India,6,40.5,1.72,1.91,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,New Zealand Women,6,35.5,1.72,1.91,Sportsbet
Australia v Sri Lanka,Team X Over Total Runs,Australia,Sri Lanka,Australia,6,48.5,1.72,1.83,Sportsbet
Australia v Sri Lanka,Team X Over Total Runs,Australia,Sri Lanka,Sri Lanka Women,6,34.5,1.72,1.91,Sportsbet
Bangladesh v England,Team X Over Total Runs,Bangladesh,England,Bangladesh,6,28.5,1.83,1.83,Sportsbet
Bangladesh v England,Team X Over Total Runs,Bangladesh,England,England,6,41.5,1.8,1.83,Sportsbet
