match,market,home_team,away_team,player_name,player_team,opposition_team,price
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Fazalhaq Farooqi,Manchester Originals,Trent Rockets,4.5
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Josh Hull,Manchester Originals,Trent Rockets,5.5
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Scott Currie,Manchester Originals,Trent Rockets,5.25
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Usama Mir,Manchester Originals,Trent Rockets,5
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Mitchell Terry Stanley,Manchester Originals,Trent Rockets,6
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Sonny Baker,Manchester Originals,Trent Rockets,6.25
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Tom Aspinwall,Manchester Originals,Trent Rockets,6.25
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Paul Ian Walter,Manchester Originals,Trent Rockets,7
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Tom Hartley,Manchester Originals,Trent Rockets,7.75
Manchester Originals v Trent Rockets,Top Team Wicket Taker,Manchester Originals,Trent Rockets,Sikandar Raza,Manchester Originals,Trent Rockets,9.25
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Adam Hose,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Adil Rashid,Northern Superchargers,Southern Brave,4.6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Ben Dwarshuis,Northern Superchargers,Southern Brave,4.75
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Ben Stokes,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Callum Parkinson,Northern Superchargers,Southern Brave,4.6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Colin Ingram,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Dillon Pennington,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Graham Clark,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Harry Brook,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Jason Roy,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Matty Potts,Northern Superchargers,Southern Brave,4.9
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Michael Jones,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Mitchell Santner,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Nicholas Pooran,Northern Superchargers,Southern Brave,NA
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Reece Topley,Northern Superchargers,Southern Brave,4.25
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Jordan Clark,Northern Superchargers,Southern Brave,5.6
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Patrick Rhys Brown,Northern Superchargers,Southern Brave,5.7
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Thomas Edward Lawes,Northern Superchargers,Southern Brave,5.7
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Matt Short,Northern Superchargers,Southern Brave,7.75
Northern Superchargers v Southern Brave,Top Team Wicket Taker,Northern Superchargers,Southern Brave,Oliver Robinson,Northern Superchargers,Southern Brave,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Adam Rossington,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Nathan Ellis,London Spirit,Welsh Fire,4.1
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Andre Russell,London Spirit,Welsh Fire,5.3
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Daniel Worrall,London Spirit,Welsh Fire,5.1
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Richard Gleeson,London Spirit,Welsh Fire,5.25
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Dan Lawrence,London Spirit,Welsh Fire,6.75
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Daniel Bell-Drummond,London Spirit,Welsh Fire,NA
London Spirit v Welsh Fire,Top Team Wicket Taker,London Spirit,Welsh Fire,Liam Dawson,London Spirit,Welsh Fire,5.75
