match,player,team,line,over_price,under_price,market_name,agency
Southern Brave v Welsh Fire,JC Archer,Southern Brave,3.5,11,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,JC Archer,Southern Brave,4.5,26,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,0.5,1.36,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,1.5,2.62,1.44,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,1.5,2.62,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,2.5,7,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,3.5,19,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,M Henry,Welsh Fire,4.5,51,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,0.5,1.25,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,1.5,2,1.72,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,1.5,2,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,2.5,5,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,3.5,13,NA,Player Wickets,Bet365
Southern Brave v Welsh Fire,TS Mills,Southern Brave,4.5,29,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,0.5,1.22,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,1.5,2.1,1.66,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,1.5,2.1,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,2.5,4.33,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,3.5,11,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,A Zampa,Oval Invincibles,4.5,26,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,0.5,1.36,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,1.5,2.62,1.44,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,1.5,2.62,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,2.5,7,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,3.5,19,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,C Green,Trent Rockets,4.5,51,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,0.5,1.44,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,1.5,3,1.36,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,1.5,3,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,2.5,10,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,3.5,26,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,I Wasim,Trent Rockets,4.5,101,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,0.5,1.33,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,1.5,2.5,1.5,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,1.5,2.5,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,2.5,6.5,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,3.5,19,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,L Wood,Trent Rockets,4.5,51,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,0.5,1.3,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,1.5,2.62,1.44,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,1.5,2.62,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,2.5,6,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,3.5,17,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,NA Sowter,Oval Invincibles,4.5,41,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,0.5,1.25,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,1.5,2.25,1.57,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,1.5,2.25,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,2.5,5,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,3.5,13,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,4.5,34,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,0.5,1.4,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,1.5,2.75,1.4,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,1.5,2.75,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,2.5,8,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,3.5,21,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,SJ Cook,Trent Rockets,4.5,51,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,0.5,1.33,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,1.5,2.62,1.44,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,1.5,2.62,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,2.5,6.5,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,3.5,19,NA,Player Wickets,Bet365
Trent Rockets v Oval Invincibles,TK Curran,Oval Invincibles,4.5,51,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,0.5,1.22,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,1.5,2.1,1.66,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,1.5,2.1,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,2.5,4.5,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,3.5,13,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,AF Milne,Birmingham Phoenix,4.5,29,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,0.5,1.3,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,1.5,2.62,1.44,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,1.5,2.62,NA,Player Wickets,Bet365
Birmingham Phoenix v Manchester Originals,C Wood,Birmingham Phoenix,2.5,6,NA,Player Wickets,Bet365
