match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Adam Lyth,16.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Alex Davies,17.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Alex Hales,20.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Dan Lawrence,20.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Graham Clark,16.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,James Vince,22.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Joe Clarke,18.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Jonathan Bairstow,21.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Laurie Evans,19.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Leus Du Plooy,18.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Matt Short,19.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Max Holden,16.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Michael-Kyle Pepper,20.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Nicholas Pooran,19.5,1.88,1.88,Sportsbet
Northern Superchargers v Southern Brave,Player Runs,Northern Superchargers,Southern Brave,Oliver Robinson,17.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Ollie Pope,18.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Paul Ian Walter,13.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Philip Salt,20.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Sam Hain,19.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Tom Abell,17.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Tom Banton,18.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Tom Kohler-Cadmore,19.5,1.88,1.88,Sportsbet
Manchester Originals v Trent Rockets,Player Runs,Manchester Originals,Trent Rockets,Wayne Madsen,19.5,1.88,1.88,Sportsbet
London Spirit v Welsh Fire,Player Runs,London Spirit,Welsh Fire,Zak Crawley,21.5,1.88,1.88,Sportsbet
