match,market,team,home_team,away_team,line,over_price,under_price,agency
Manchester Originals v Trent Rockets,Fall of 1st Wicket,Manchester Originals,Manchester Originals,Trent Rockets,19.5,1.83,1.83,Sportsbet
Northern Superchargers v Southern Brave,Fall of 1st Wicket,Northern Superchargers,Northern Superchargers,Southern Brave,17.5,1.83,1.83,Sportsbet
London Spirit v Welsh Fire,Fall of 1st Wicket,London Spirit,London Spirit,Welsh Fire,21.5,1.83,1.83,Sportsbet
