match,market,home_team,away_team,player_name,price
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Alex Hales,7
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Jos Buttler,NA
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Phil Salt,6.75
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Tom Banton,7.5
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Wayne Madsen,7.75
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Adam Lyth,8
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Max Holden,8.5
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Sam Hain,8
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Paul Ian Walter,13
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Tom Alsop,15
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Rovman Powell,16
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Sikandar Raza,18
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Matthew Hurst,19
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Jamie Overton,21
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Lewis Gregory,34
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Chris Green,41
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Imad Wasim,41
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Jordan Thompson,41
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Tom Aspinwall,67
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Usama Mir,67
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Tom Hartley,71
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Fazalhaq Farooqi,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,John A Turner,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Josh Hull,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Luke Wood,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Mitchell Terry Stanley,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Riley Meredith,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Sam Cook,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Scott Currie,101
Manchester Originals v Trent Rockets,Top Match Run Scorer,Manchester Originals,Trent Rockets,Sonny Baker,101
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,James Vince,5.3
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Jason Roy,7.5
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Leus Du Plooy,7.25
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Matt Short,7
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Nicholas Pooran,7.5
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Laurie Evans,8
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Oliver Robinson,8.75
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Alex Davies,9.25
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Finn Allen,9
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Graham Clark,9.75
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Colin Ingram,10.5
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Joe Weatherley,13
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Kieron Pollard,18
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Adam Hose,19
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,James Matthew Coles,41
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Michael Jones,41
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,George Garton,61
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Jordan Clark,61
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Rehan Ahmed,61
Northern Superchargers v Southern Brave,Top Match Run Scorer,Northern Superchargers,Southern Brave,Adil Rashid,101
