match,market,home_team,away_team,line,over_price,under_price,agency
Manchester Originals v Trent Rockets,Total Match Fours,Manchester Originals,Trent Rockets,24.5,1.83,1.9,Sportsbet
Northern Superchargers v Southern Brave,Total Match Fours,Northern Superchargers,Southern Brave,25.5,1.81,1.93,Sportsbet
London Spirit v Welsh Fire,Total Match Fours,London Spirit,Welsh Fire,25.5,1.84,1.88,Sportsbet
