match,player,team,line,over_price,under_price,market_name,agency
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,16.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,29.5,2.75,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,49.5,6.5,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,ADS Fletcher,Southern Brave,69.5,13,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,17.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,29.5,2.62,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,49.5,6,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,AL Davies,Southern Brave,69.5,10,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,9.5,1.33,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,19.5,1.72,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,21.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,29.5,2.25,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,49.5,4.33,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,BM Duckett,Birmingham Phoenix,69.5,6.5,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,16.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,29.5,2.75,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,49.5,6,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JL Smith,Birmingham Phoenix,69.5,13,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,9.5,1.3,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,19.5,1.66,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,23.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,29.5,2.1,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,49.5,3.75,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,JM Vince,Southern Brave,69.5,5.5,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,9.5,1.4,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,18.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,19.5,1.9,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,29.5,2.62,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,49.5,5.5,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,L Evans,Southern Brave,69.5,19,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,9.5,1.53,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,14.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,19.5,2.2,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,29.5,3.25,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,49.5,7,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,LS Livingstone,Birmingham Phoenix,69.5,29,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,9.5,1.44,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,17.5,1.83,1.83,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,19.5,2,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,29.5,2.62,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,49.5,5.5,NA,Player Runs,Bet365
Birmingham Phoenix v Southern Brave,MM Ali,Birmingham Phoenix,69.5,10,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,9.5,1.36,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,19.5,1.8,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,20.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,29.5,2.37,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,49.5,4,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,AD Hales,Trent Rockets,69.5,7,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,9.5,1.36,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,19.5,1.8,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,20.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,29.5,2.37,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,49.5,4.5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,DJ Malan,Oval Invincibles,69.5,6.5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,9.5,1.36,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,19.5,1.8,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,20.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,29.5,2.37,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,49.5,5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JE Root,Trent Rockets,69.5,9,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,9.5,1.36,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,19.5,1.83,1.83,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,19.5,1.83,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,29.5,2.5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,49.5,5,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,JM Cox,Oval Invincibles,69.5,9,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,9.5,1.4,NA,Player Runs,Bet365
Trent Rockets v Oval Invincibles,S Curran,Oval Invincibles,18.5,1.83,1.83,Player Runs,Bet365
