match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
Welsh Fire v Northern Superchargers,2024-08-08T14:00:00Z,Head To Head,Welsh Fire,2.04,Northern Superchargers,1.7408,1.065,Pointsbet
Oval Invincibles v Southern Brave,2024-08-08T17:30:00Z,Head To Head,Oval Invincibles,1.7693,Southern Brave,2,1.065,Pointsbet
London Spirit v Manchester Originals,2024-08-09T17:30:00Z,Head To Head,London Spirit,1.7408,Manchester Originals,1.97,1.082,Pointsbet
