match,market,home_team,away_team,player_name,player_team,opposition_team,price
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Akeal Hosein,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Akhilesh Reddy Bodugum,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Lockie Ferguson,Washington Freedom,San Francisco Unicorns,3.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Amila Aponso,Washington Freedom,San Francisco Unicorns,4.3
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Andrew Tye,Washington Freedom,San Francisco Unicorns,4.3
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Andries Gous,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Jessy Singh,Washington Freedom,San Francisco Unicorns,4.9
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Lahiru Milantha,Washington Freedom,San Francisco Unicorns,4.6
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Marco Jansen,Washington Freedom,San Francisco Unicorns,4.4
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Saurabh Netravalkar,Washington Freedom,San Francisco Unicorns,4.4
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Justin Dill,Washington Freedom,San Francisco Unicorns,5.6
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Ian Holland,Washington Freedom,San Francisco Unicorns,6
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Glenn Maxwell,Washington Freedom,San Francisco Unicorns,7.25
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Mukhtar Ahmed,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Obus Pienaar,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Rachin Ravindra,Washington Freedom,San Francisco Unicorns,7
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Steven Peter Devereux Smith,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Travis Michael Head,Washington Freedom,San Francisco Unicorns,NA
Washington Freedom v San Francisco Unicorns,Top Team Wicket Taker,Washington Freedom,San Francisco Unicorns,Yasir Saeed Mohammad,Washington Freedom,San Francisco Unicorns,6.25
