match,market_name,home_team,away_team,home_win,away_win,agency,margin
Texas Super Kings v MI New York,Head To Head,Texas Super Kings,MI New York,2,1.8,TAB,1.056
San Francisco Unicorns v Seattle,Head To Head,San Francisco Unicorns,Seattle,1.6,NA,TAB,NA
