match,market,home_team,away_team,team,line,over_price,under_price,agency
Mi New York v Washington Freedom,Total Team Fours,Mi New York,Washington Freedom,Mi New York,11.5,1.83,1.9,Sportsbet
Mi New York v Washington Freedom,Total Team Fours,Mi New York,Washington Freedom,Washington Freedom,12.5,1.96,1.78,Sportsbet
Seattle Orcas v Los Angeles Knight Riders,Total Team Fours,Seattle Orcas,Los Angeles Knight Riders,Seattle Orcas,12.5,1.76,1.99,Sportsbet
Seattle Orcas v Los Angeles Knight Riders,Total Team Fours,Seattle Orcas,Los Angeles Knight Riders,Los Angeles Knight Riders,12.5,1.83,1.89,Sportsbet
