match,market,home_team,away_team,team,price,agency
Texas Super Kings v MI New York,Team To Score Most Fours,Texas Super Kings,MI New York,Texas Super Kings,1.89,Sportsbet
Texas Super Kings v MI New York,Team To Score Most Fours,Texas Super Kings,MI New York,Draw,9.5,Sportsbet
Texas Super Kings v MI New York,Team To Score Most Fours,Texas Super Kings,MI New York,MI New York,2.12,Sportsbet
San Francisco Unicorns v Seattle Orcas,Team To Score Most Fours,San Francisco Unicorns,Seattle Orcas,San Francisco Unicorns,1.97,Sportsbet
San Francisco Unicorns v Seattle Orcas,Team To Score Most Fours,San Francisco Unicorns,Seattle Orcas,Draw,9.5,Sportsbet
San Francisco Unicorns v Seattle Orcas,Team To Score Most Fours,San Francisco Unicorns,Seattle Orcas,Seattle Orcas,2.05,Sportsbet
