match,market,team,line,over_price,under_price,agency
Seattle v Washington Freedom,Fall of 1st Wicket,Seattle Orcas,19.5,1.95,1.75,TAB
Seattle v Washington Freedom,Fall of 1st Wicket,Washington Freedom,25.5,1.85,1.85,TAB
