match,market,team,line,over_price,under_price,agency
MI New York v San Francisco Unicorns,Fall of 1st Wicket,MI New York,18.5,1.85,1.85,TopSport
MI New York v San Francisco Unicorns,Fall of 1st Wicket,San Francisco Unicorns,22.5,1.85,1.85,TopSport
Texas Super Kings v Washington Freedom,Fall of 1st Wicket,Texas Super Kings,23.5,1.85,1.85,TopSport
Texas Super Kings v Washington Freedom,Fall of 1st Wicket,Washington Freedom,23.5,1.85,1.85,TopSport
