match,market,home_team,away_team,team,price,agency
Texas Super Kings v MI New York,Team of Top Batter,Texas Super Kings,MI New York,Texas Super Kings,1.76,Sportsbet
Texas Super Kings v MI New York,Team of Top Batter,Texas Super Kings,MI New York,MI New York,1.95,Sportsbet
San Francisco Unicorns v Seattle Orcas,Team of Top Batter,San Francisco Unicorns,Seattle Orcas,San Francisco Unicorns,1.66,Sportsbet
San Francisco Unicorns v Seattle Orcas,Team of Top Batter,San Francisco Unicorns,Seattle Orcas,Seattle Orcas,2.08,Sportsbet
