match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,MI New York,0.5,1.24,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,MI New York,1.5,2.25,1.57,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,MI New York,2.5,4.6,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,MI New York,3.5,10,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,MI New York,0.5,1.33,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,MI New York,1.5,2.7,1.41,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,MI New York,2.5,5,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,MI New York,3.5,12,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Lockie Ferguson,Washington Freedom,Texas Super Kings,0.5,1.28,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Lockie Ferguson,Washington Freedom,Texas Super Kings,1.5,2.45,1.49,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Lockie Ferguson,Washington Freedom,Texas Super Kings,2.5,5.3,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Lockie Ferguson,Washington Freedom,Texas Super Kings,3.5,11,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Marco Jansen,Washington Freedom,Texas Super Kings,0.5,1.3,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Marco Jansen,Washington Freedom,Texas Super Kings,1.5,2.6,1.44,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Marco Jansen,Washington Freedom,Texas Super Kings,2.5,5.5,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Marco Jansen,Washington Freedom,Texas Super Kings,3.5,12,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Naveen Ul Haq,Texas Super Kings,Washington Freedom,0.5,1.3,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Naveen Ul Haq,Texas Super Kings,Washington Freedom,1.5,2.6,1.44,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Naveen Ul Haq,Texas Super Kings,Washington Freedom,2.5,5.5,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Naveen Ul Haq,Texas Super Kings,Washington Freedom,3.5,12,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Rashid Khan,MI New York,San Francisco Unicorns,0.5,1.25,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Rashid Khan,MI New York,San Francisco Unicorns,1.5,2.05,1.7,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Rashid Khan,MI New York,San Francisco Unicorns,2.5,4.4,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Rashid Khan,MI New York,San Francisco Unicorns,3.5,11,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Trent Boult,MI New York,San Francisco Unicorns,0.5,1.24,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Trent Boult,MI New York,San Francisco Unicorns,1.5,2,1.77,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Trent Boult,MI New York,San Francisco Unicorns,2.5,4.6,NA,TopSport
MI New York v San Francisco Unicorns,Player Wickets,MI New York,San Francisco Unicorns,Trent Boult,MI New York,San Francisco Unicorns,3.5,10,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Zia Ul Haq,Texas Super Kings,Washington Freedom,0.5,1.33,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Zia Ul Haq,Texas Super Kings,Washington Freedom,1.5,2.7,1.41,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Zia Ul Haq,Texas Super Kings,Washington Freedom,2.5,5.75,NA,TopSport
Texas Super Kings v Washington Freedom,Player Wickets,Texas Super Kings,Washington Freedom,Zia Ul Haq,Texas Super Kings,Washington Freedom,3.5,12,NA,TopSport
