match,player_name,player_team,line,over_price,under_price,market,agency
Texas Super Kings v MI New York,AJ Hosein,Texas Super Kings,0.5,1.53,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,AJ Hosein,Texas Super Kings,1.5,3.25,1.33,Player Wickets,Bet365
Texas Super Kings v MI New York,AJ Hosein,Texas Super Kings,1.5,3.25,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,AJ Hosein,Texas Super Kings,2.5,11,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,AJ Hosein,Texas Super Kings,3.5,29,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,MG Bracewell,MI New York,0.5,1.66,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,MG Bracewell,MI New York,1.5,4,1.22,Player Wickets,Bet365
Texas Super Kings v MI New York,MG Bracewell,MI New York,1.5,4,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,MG Bracewell,MI New York,2.5,15,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,MG Bracewell,MI New York,3.5,41,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Noor Ahmad,Texas Super Kings,0.5,1.4,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Noor Ahmad,Texas Super Kings,1.5,2.5,1.5,Player Wickets,Bet365
Texas Super Kings v MI New York,Noor Ahmad,Texas Super Kings,1.5,2.5,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Noor Ahmad,Texas Super Kings,2.5,8,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Noor Ahmad,Texas Super Kings,3.5,23,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,N Burger,Texas Super Kings,0.5,1.5,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,N Burger,Texas Super Kings,1.5,3,1.36,Player Wickets,Bet365
Texas Super Kings v MI New York,N Burger,Texas Super Kings,1.5,3,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,N Burger,Texas Super Kings,2.5,11,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,N Burger,Texas Super Kings,3.5,29,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,N ul-Haq,MI New York,1.5,3.4,1.3,Player Wickets,Bet365
Texas Super Kings v MI New York,NP Kenjige,MI New York,0.5,1.57,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,NP Kenjige,MI New York,1.5,3.75,1.25,Player Wickets,Bet365
Texas Super Kings v MI New York,NP Kenjige,MI New York,1.5,3.75,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,NP Kenjige,MI New York,2.5,13,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,NP Kenjige,MI New York,3.5,41,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,TA Boult,MI New York,0.5,1.36,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,TA Boult,MI New York,1.5,2.62,1.44,Player Wickets,Bet365
Texas Super Kings v MI New York,TA Boult,MI New York,1.5,2.62,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,TA Boult,MI New York,2.5,7,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,TA Boult,MI New York,3.5,21,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Zia ul-Haq,Texas Super Kings,0.5,1.5,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Zia ul-Haq,Texas Super Kings,1.5,3,1.36,Player Wickets,Bet365
Texas Super Kings v MI New York,Zia ul-Haq,Texas Super Kings,1.5,3,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Zia ul-Haq,Texas Super Kings,2.5,11,NA,Player Wickets,Bet365
Texas Super Kings v MI New York,Zia ul-Haq,Texas Super Kings,3.5,29,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,A Desai,Seattle Orcas,0.5,1.72,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,A Desai,Seattle Orcas,1.5,4.5,1.18,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,A Desai,Seattle Orcas,1.5,4.5,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,A Desai,Seattle Orcas,2.5,17,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,A Desai,Seattle Orcas,3.5,51,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,B Couch,San Francisco Unicorns,0.5,1.4,NA,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,B Couch,San Francisco Unicorns,1.5,2.75,1.4,Player Wickets,Bet365
San Francisco Unicorns v Seattle Orcas,B Couch,San Francisco Unicorns,1.5,2.75,NA,Player Wickets,Bet365
