match,team,line,over_price,under_price,market,agency
San Francisco Unicorns v Seattle Orcas,San Francisco Unicorns,7.5,1.72,2.1,First Over Runs - Team,Bet365
San Francisco Unicorns v Seattle Orcas,Seattle Orcas,6.5,1.72,2.1,First Over Runs - Team,Bet365
