match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Trent Boult,MI New York,San Francisco Unicorns,3.6,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Kagiso Rabada,MI New York,San Francisco Unicorns,3.9,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Rashid Khan,MI New York,San Francisco Unicorns,3.9,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Jason Behrendorff,MI New York,San Francisco Unicorns,4.4,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Nosthush Kenjige,MI New York,San Francisco Unicorns,4.6,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Romario Shepherd,MI New York,San Francisco Unicorns,4.8,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Ehsan Adil,MI New York,San Francisco Unicorns,6,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Sarbjeet Ladda,MI New York,San Francisco Unicorns,6.5,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Kieron Pollard,MI New York,San Francisco Unicorns,7,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Steven Taylor,MI New York,San Francisco Unicorns,8,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Dewald Brevis,MI New York,San Francisco Unicorns,9,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Haris Rauf,San Francisco Unicorns,MI New York,3.7,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Pat Cummins,San Francisco Unicorns,MI New York,4,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Matt Henry,San Francisco Unicorns,MI New York,4.4,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Liam Plunkett,San Francisco Unicorns,MI New York,4.6,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Hassan Khan,San Francisco Unicorns,MI New York,5,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Matt Short,San Francisco Unicorns,MI New York,6,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Carmi le Roux,San Francisco Unicorns,MI New York,6.5,TopSport
MI New York v San Francisco Unicorns,Top Team Wicket Taker,MI New York,San Francisco Unicorns,Corey Anderson,San Francisco Unicorns,MI New York,10,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Gerald Coetzee,Texas Super Kings,Washington Freedom,4,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Naveen Ul Haq,Texas Super Kings,Washington Freedom,4,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Mitchell Santner,Texas Super Kings,Washington Freedom,4.4,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Zia Ul Haq,Texas Super Kings,Washington Freedom,4.4,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Dwayne Bravo,Texas Super Kings,Washington Freedom,4.6,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Marcus Stoinis,Texas Super Kings,Washington Freedom,4.8,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Noor Ahmad,Texas Super Kings,Washington Freedom,4.8,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Cameron Stevenson,Texas Super Kings,Washington Freedom,5,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Mohammad Mohsin,Texas Super Kings,Washington Freedom,5,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Aaron Hardie,Texas Super Kings,Washington Freedom,6,TopSport
Texas Super Kings v Washington Freedom,Top Team Wicket Taker,Texas Super Kings,Washington Freedom,Raj Nannan,Texas Super Kings,Washington Freedom,6.75,TopSport
