match,market,home_team,away_team,line,over_price,under_price,agency
Texas Super Kings v MI New York,Total Match Run Outs,Texas Super Kings,MI New York,0.5,1.7,2.08,Sportsbet
San Francisco Unicorns v Seattle Orcas,Total Match Run Outs,San Francisco Unicorns,Seattle Orcas,0.5,1.91,1.82,Sportsbet
