match,market,home_team,away_team,team,line,over_price,under_price,agency
Mi New York v San Francisco Unicorns,Total Team Sixes,Mi New York,San Francisco Unicorns,Mi New York,7.5,2.04,1.72,Sportsbet
Mi New York v San Francisco Unicorns,Total Team Sixes,Mi New York,San Francisco Unicorns,San Francisco Unicorns,7.5,1.89,1.83,Sportsbet
Texas Super Kings v Washington Freedom,Total Team Sixes,Texas Super Kings,Washington Freedom,Texas Super Kings,6.5,1.81,1.92,Sportsbet
Texas Super Kings v Washington Freedom,Total Team Sixes,Texas Super Kings,Washington Freedom,Washington Freedom,6.5,1.82,1.91,Sportsbet
