match,market,home_team,away_team,player_name,line,over_price,under_price,agency
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Aaron Hardie,18.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Corey Anderson,16.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Devon Conway,24.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Faf du Plessis,22.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Finn Allen,18.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Jake Fraser-McGurk,17.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Josh Inglis,18.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Joshua Tromp,13.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Marcus Stoinis,17.5,1.88,1.88,Sportsbet
San Francisco Unicorns v Texas Super Kings,Player Runs,San Francisco Unicorns,Texas Super Kings,Matt Short,18.5,1.88,1.88,Sportsbet
