match,market,team,line,over_price,under_price,agency
Washington Freedom v Texas Super Kings,First Over Runs,Tex,6.5,2.4,1.5,TAB
Washington Freedom v Texas Super Kings,First Over Runs,Was,6.5,1.92,1.85,TAB
