match,home_team,away_team,market,team,price,agency
Texas Super Kings v MI New York,Texas Super Kings,MI New York,Team To Score Most Sixes,Texas Super Kings,2.05,TAB
Texas Super Kings v MI New York,Texas Super Kings,MI New York,Team To Score Most Sixes,Tie,7.5,TAB
Texas Super Kings v MI New York,Texas Super Kings,MI New York,Team To Score Most Sixes,MI New York,2.05,TAB
