match,market,team,line,over_price,under_price,agency
Texas Super Kings v MI New York,First Over Runs,Texas Super Kings,6.5,1.67,2,Sportsbet
Texas Super Kings v MI New York,First Over Runs,Mi New York,6.5,1.72,1.91,Sportsbet
San Francisco Unicorns v Seattle Orcas,First Over Runs,San Francisco Unicorns,7.5,2,1.67,Sportsbet
San Francisco Unicorns v Seattle Orcas,First Over Runs,Seattle Orcas,6.5,1.8,1.83,Sportsbet
