match,market,home_team,away_team,player_name,price
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Devon Conway,5
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Faf du Plessis,5.75
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Aaron Hardie,7.75
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Finn Allen,7.75
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Jake Fraser-McGurk,8.75
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Matt Short,8.25
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Josh Inglis,9
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Joshua Tromp,15
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Corey Anderson,17
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Saiteja Mukkamalla,17
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Sherfane Rutherford,34
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Hassan Khan,51
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Milind Kumar,51
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Mitchell Santner,51
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Calvin Savage,71
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Sanjay Prasad Krishnamurthi,71
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Tajinder Singh,71
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Abrar Ahmed,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Brody L Couch,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Cameron Stevenson,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Carmi le Roux,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Dwayne Bravo,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Gerald Coetzee,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Haris Rauf,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Liam Plunkett,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Matt Henry,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Mohammad Mohsin,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Naveen-ul-Haq Murid,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Pat Cummins,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Zia Muhammad Shahzad,101
San Francisco Unicorns v Texas Super Kings,Top Team Run Scorer,San Francisco Unicorns,Texas Super Kings,Zia Ul Haq,101
