match,market_name,home_team,home_win,away_team,away_win,margin,agency
Galle Marvels v Jaffna Kings,Head To Head,Galle Marvels,1.9,Jaffna Kings,1.87,1.061,TopSport
Colombo Strikers v Kandy Falcons,Head To Head,Colombo Strikers,1.74,Kandy Falcons,2.06,1.06,TopSport
