match,market,home_team,away_team,player_name,price
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Glenn Phillips,6.5
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Rahmanullah Gurbaz,6.25
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Reeza Hendricks,6
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Ibrahim Zadran,7.75
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Kusal Perera,7
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Waseem Muhammad,8
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Angelo Perera,9.75
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Danushka Gunathilaka,10.5
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Towhid Hridoy,10.5
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Shavon Daniel,11.5
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Sadheera Samarawickreme,15
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Mark Chapman,21
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Shadab Khan,34
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Walgampaha Mudiyanselage Kaveen Bandara,34
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Sonal Dinusha,51
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Chamindu Wickramasinghe,67
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Thisara Perera,67
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Allah Mohammad Ghazanfar,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Binura Fernando,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Chamika Gunasekara,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Dilshan Madushanka,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Dunith Nethmika Wellalage,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Garuka Sanketh,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Isitha Wijesundera,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Matheesha Pathirana,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Munasinghe Arachchige Dushan Ishara,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Mustafizur Rahman,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Nuwan Pradeep,101
Dambulla Sixers v Colombo Strikers,Top Team Run Scorer,Dambulla Sixers,Colombo Strikers,Nuwan Thushara,101
