match,market,home_team,away_team,team,line,over_price,under_price,agency
B-Love Kandy v Jaffna Kings,Total Team Fours,B-Love Kandy,Jaffna Kings,B-Love Kandy,15.5,2.05,1.71,Sportsbet
B-Love Kandy v Jaffna Kings,Total Team Fours,B-Love Kandy,Jaffna Kings,Jaffna Kings,15.5,1.83,1.9,Sportsbet
Dambulla Sixers v Galle Marvels,Total Team Fours,Dambulla Sixers,Galle Marvels,Dambulla Sixers,15.5,1.85,1.87,Sportsbet
Dambulla Sixers v Galle Marvels,Total Team Fours,Dambulla Sixers,Galle Marvels,Galle Marvels,15.5,1.94,1.79,Sportsbet
