match,market_name,home_team,away_team,home_win,away_win,agency,margin
Colombo Strikers v Jaffna Kings,Head To Head,Colombo Strikers,Jaffna Kings,1.8,2,TAB,1.056
Galle Marvels v Kandy Falcons,Head To Head,Galle Marvels,Kandy Falcons,2.15,1.68,TAB,1.06
