match,market,home_team,away_team,line,over_price,under_price,agency
Galle Marvels v Jaffna Kings,Total Match Sixes,Galle Marvels,Jaffna Kings,11.5,1.76,1.98,Sportsbet
Colombo Strikers v Kandy Falcons,Total Match Sixes,Colombo Strikers,Kandy Falcons,12.5,1.78,1.95,Sportsbet
