match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Alex Hales,23.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Andre Fletcher,22.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Angelo Mathews,18.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Bhanuka Rajapaksa,18.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Dinesh Chandimal,22.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Janith Liyanage,13.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Kamindu Mendis,19.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Mohammad Haris,18.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Niroshan Dickwella,18.5,1.88,1.88,Sportsbet
Galle Marvels v Kandy Falcons,Player Runs,Galle Marvels,Kandy Falcons,Tim Seifert,23.5,1.88,1.88,Sportsbet
