match,market,home_team,away_team,team,line,over_price,under_price,agency
Galle Marvels v Jaffna Kings,Total Team Sixes,Galle Marvels,Jaffna Kings,Galle Marvels,5.5,1.87,1.86,Sportsbet
Galle Marvels v Jaffna Kings,Total Team Sixes,Galle Marvels,Jaffna Kings,Jaffna Kings,6.5,1.98,1.76,Sportsbet
Colombo Strikers v Kandy Falcons,Total Team Sixes,Colombo Strikers,Kandy Falcons,Colombo Strikers,6.5,1.82,1.91,Sportsbet
Colombo Strikers v Kandy Falcons,Total Team Sixes,Colombo Strikers,Kandy Falcons,Kandy Falcons,6.5,2.08,1.7,Sportsbet
