match,team,market,line,over_price,under_price,agency
Perth Scorchers v Adelaide Strikers,Adelaide Strikers,First Over Runs - Team,6.5,1.9,1.8,TopSport
Perth Scorchers v Adelaide Strikers,Perth Scorchers,First Over Runs - Team,6.5,1.9,1.8,TopSport
