match,team,market,player,opponent,price,agency
Brisbane Heat v Melbourne Stars,Brisbane Heat,First Player Dismissed,Colin Munro,Jack Wildermuth,2.1,Pointsbet
Brisbane Heat v Melbourne Stars,Brisbane Heat,First Player Dismissed,Jack Wildermuth,Colin Munro,1.67,Pointsbet
Sydney Thunder v Hobart Hurricanes,Sydney Thunder,First Player Dismissed,David Warner,Matthew Gilkes,2,Pointsbet
Sydney Thunder v Hobart Hurricanes,Sydney Thunder,First Player Dismissed,Matthew Gilkes,David Warner,1.75,Pointsbet
Sydney Thunder v Hobart Hurricanes,Hobart Hurricanes,First Player Dismissed,Tim Ward,Mitchell Owen,1.75,Pointsbet
Sydney Thunder v Hobart Hurricanes,Hobart Hurricanes,First Player Dismissed,Mitchell Owen,Tim Ward,2,Pointsbet
Perth Scorchers v Adelaide Strikers,Perth Scorchers,First Player Dismissed,Mitchell Marsh,Finn Allen,2.05,Pointsbet
Perth Scorchers v Adelaide Strikers,Perth Scorchers,First Player Dismissed,Finn Allen,Mitchell Marsh,1.72,Pointsbet
Perth Scorchers v Adelaide Strikers,Adelaide Strikers,First Player Dismissed,Matthew Short,Chris Lynn,2,Pointsbet
Perth Scorchers v Adelaide Strikers,Adelaide Strikers,First Player Dismissed,Chris Lynn,Matthew Short,1.75,Pointsbet
