match,team,market,line,over_price,under_price,agency
Perth Scorchers v Adelaide Strikers,Perth Scorchers,First Over Runs - Team,6.5,1.67,2.06,BetRight
Perth Scorchers v Adelaide Strikers,Adelaide Strikers,First Over Runs - Team,6.5,1.67,2.06,BetRight
Sydney Sixers v Brisbane Heat,Sydney Sixers,First Over Runs - Team,6.5,1.97,1.74,BetRight
Sydney Sixers v Brisbane Heat,Brisbane Heat,First Over Runs - Team,6.5,1.74,1.97,BetRight
