match,player_name,market,line,over_price,under_price,agency
Sydney Thunder v Hobart Hurricanes,Sam Konstas,Batsman Runs,19.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Ben McDermott,Batsman Runs,23.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Matthew Gilkes,Batsman Runs,19.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Nikhil Chaudhary,Batsman Runs,19.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Sam Billings,Batsman Runs,19.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Cameron Bancroft,Batsman Runs,17.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,Mitchell Owen,Batsman Runs,20.5,1.85,1.85,BetRight
Sydney Thunder v Hobart Hurricanes,David Warner,Batsman Runs,21.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Aaron Hardie,Batsman Runs,19.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Finn Allen,Batsman Runs,23.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Liam Scott,Batsman Runs,16.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Ashton Turner,Batsman Runs,18.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Chris Lynn,Batsman Runs,22.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Jason Sangha,Batsman Runs,16.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Mackenzie Harvey,Batsman Runs,14.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Matthew Short,Batsman Runs,29.5,1.85,1.85,BetRight
Perth Scorchers v Adelaide Strikers,Cooper Connolly,Batsman Runs,24.5,1.85,1.85,BetRight
