match,market,line,over_price,under_price,agency
Brisbane Heat v Sydney Thunder,First Over Runs (First Innings),6.5,2,1.8,Sportsbet
Perth Scorchers v Melbourne Renegades,First Over Runs (First Innings),6.5,2.05,1.75,Sportsbet
Melbourne Stars v Sydney Sixers,First Over Runs (First Innings),6.5,1.8,2,Sportsbet
