match,market,line,over_price,under_price,agency
Sydney Sixers v Brisbane Heat,Total Match Sixes,13.5,1.9,1.8,Bet365
Perth Scorchers v Sydney Thunder,Total Match Sixes,12.5,1.9,1.8,Bet365
