match,market,line,over_price,under_price,agency
Hobart Hurricanes v Melbourne Renegades,Total Match Fours,25.5,1.72,2,Bet365
Adelaide Strikers v Sydney Sixers,Total Match Fours,27.5,1.83,1.83,Bet365
Adelaide Strikers v Sydney Sixers,Total Match Fours,27.5,1.83,1.83,Bet365
