match,market_name,team,price,agency
Sydney Sixers v Sydney Thunder,Highest Opening Partnership,Sydney Sixers,1.8,TAB
Sydney Sixers v Sydney Thunder,Highest Opening Partnership,Draw,34,TAB
Sydney Sixers v Sydney Thunder,Highest Opening Partnership,Sydney Thunder,2,TAB
Melbourne Renegades v Brisbane Heat,Highest Opening Partnership,Melbourne Renegades,1.87,TAB
Melbourne Renegades v Brisbane Heat,Highest Opening Partnership,Draw,26,TAB
Melbourne Renegades v Brisbane Heat,Highest Opening Partnership,Brisbane Heat,1.95,TAB
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Perth Scorchers,2,TAB
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Draw,34,TAB
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Adelaide Strikers,1.8,TAB
Melbourne Stars v Hobart Hurricanes,Highest Opening Partnership,Melbourne Stars,1.95,TAB
Melbourne Stars v Hobart Hurricanes,Highest Opening Partnership,Draw,34,TAB
Melbourne Stars v Hobart Hurricanes,Highest Opening Partnership,Hobart Hurricanes,1.85,TAB
