match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
Melbourne Stars v Melbourne Renegades,2025-01-04T08:15:00Z,Head To Head,Melbourne Stars,1.7,Melbourne Renegades,2.15,1.053,Pointsbet
Hobart Hurricanes v Adelaide Strikers,2025-01-05T08:15:00Z,Head To Head,Hobart Hurricanes,1.76,Adelaide Strikers,2.07,1.051,Pointsbet
Brisbane Heat v Sydney Thunder,2025-01-06T08:15:00Z,Head To Head,Brisbane Heat,1.8,Sydney Thunder,2,1.056,Pointsbet
