team,line,over_price,under_price,agency,match,market
Adelaide Strikers,13.5,1.83,1.83,Bet365,Adelaide Strikers v Hobart Hurricanes,Total Team Fours
Hobart Hurricanes,13.5,1.83,1.83,Bet365,Adelaide Strikers v Hobart Hurricanes,Total Team Fours
Melbourne Stars,12.5,1.83,1.83,Bet365,Melbourne Stars v Sydney Thunder,Total Team Fours
Sydney Thunder,13.5,1.83,1.83,Bet365,Melbourne Stars v Sydney Thunder,Total Team Fours
