match,team,line,over_price,under_price,market,agency
Hobart Hurricanes v Sydney Thunder,Hobart Hurricanes,6.5,2,1.8,First Over Runs - Team,Bet365
Hobart Hurricanes v Sydney Thunder,Sydney Thunder,6.5,2,1.8,First Over Runs - Team,Bet365
Sydney Sixers v Perth Scorchers,Sydney Sixers,6.5,2,1.8,First Over Runs - Team,Bet365
Sydney Sixers v Perth Scorchers,Perth Scorchers,6.5,2,1.8,First Over Runs - Team,Bet365
Adelaide Strikers v Brisbane Heat,Adelaide Strikers,6.5,1.9,1.9,First Over Runs - Team,Bet365
Adelaide Strikers v Brisbane Heat,Brisbane Heat,6.5,1.9,1.9,First Over Runs - Team,Bet365
Melbourne Renegades v Melbourne Stars,Melbourne Renegades,6.5,2,1.8,First Over Runs - Team,Bet365
Melbourne Renegades v Melbourne Stars,Melbourne Stars,6.5,2,1.8,First Over Runs - Team,Bet365
