team,line,over_price,under_price,agency,match,market
Sydney Sixers,4.5,1.83,1.83,Bet365,Sydney Sixers v Melbourne Stars,Total Team Sixes
Melbourne Stars,4.5,1.83,1.83,Bet365,Sydney Sixers v Melbourne Stars,Total Team Sixes
