match,market_name,team,price,agency
Sydney Thunder v Hobart Hurricanes,Most Match Sixes,Sydney Thunder,2.65,BetRight
Sydney Thunder v Hobart Hurricanes,Most Match Sixes,Draw,9,BetRight
Sydney Thunder v Hobart Hurricanes,Most Match Sixes,Hobart Hurricanes,1.64,BetRight
