match,market_name,team,price,agency
Sydney Thunder v Hobart Hurricanes,Highest Opening Partnership,Sydney Thunder,1.82,BetRight
Sydney Thunder v Hobart Hurricanes,Highest Opening Partnership,Draw,23,BetRight
Sydney Thunder v Hobart Hurricanes,Highest Opening Partnership,Hobart Hurricanes,2,BetRight
Melbourne Stars v Melbourne Renegades,Highest Opening Partnership,Melbourne Stars,2,BetRight
Melbourne Stars v Melbourne Renegades,Highest Opening Partnership,Draw,23,BetRight
Melbourne Stars v Melbourne Renegades,Highest Opening Partnership,Melbourne Renegades,1.82,BetRight
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Perth Scorchers,1.98,BetRight
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Draw,23,BetRight
Perth Scorchers v Adelaide Strikers,Highest Opening Partnership,Adelaide Strikers,1.83,BetRight
Sydney Sixers v Brisbane Heat,Highest Opening Partnership,Sydney Sixers,1.67,BetRight
Sydney Sixers v Brisbane Heat,Highest Opening Partnership,Draw,23,BetRight
Sydney Sixers v Brisbane Heat,Highest Opening Partnership,Brisbane Heat,2.2,BetRight
