match,market,team,line,over_price,under_price,agency
Brisbane Heat v Hobart Hurricanes,Team Total 6s,Bris,5.5,1.85,1.85,TAB
Brisbane Heat v Hobart Hurricanes,Team Total 6s,Hoba,6.5,2.2,1.6,TAB
