match,market,home_team,away_team,team,line,over_price,under_price,agency
Perth Scorchers v Melbourne Renegades,Total Team Fours,Perth Scorchers,Melbourne Renegades,Perth Scorchers,13.5,1.97,1.77,Sportsbet
Perth Scorchers v Melbourne Renegades,Total Team Fours,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,12.5,1.87,1.87,Sportsbet
Sydney Thunder v Hobart Hurricanes,Total Team Fours,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,12.5,1.91,1.82,Sportsbet
Sydney Thunder v Hobart Hurricanes,Total Team Fours,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,12.5,1.87,1.87,Sportsbet
Melbourne Stars v Sydney Sixers,Total Team Fours,Melbourne Stars,Sydney Sixers,Melbourne Stars,12.5,1.87,1.87,Sportsbet
Melbourne Stars v Sydney Sixers,Total Team Fours,Melbourne Stars,Sydney Sixers,Sydney Sixers,13.5,2.14,1.65,Sportsbet
