match,market,team,line,over_price,under_price,agency
Hobart Hurricanes v Perth Scorchers,Fall of 1st Wicket - Team,Hobart Hurricanes,19.5,1.85,1.85,TopSport
Hobart Hurricanes v Perth Scorchers,Fall of 1st Wicket - Team,Perth Scorchers,22.5,1.85,1.85,TopSport
Sydney Sixers v Sydney Thunder,Fall of 1st Wicket - Team,Sydney Sixers,22.5,1.85,1.85,TopSport
Sydney Sixers v Sydney Thunder,Fall of 1st Wicket - Team,Sydney Thunder,21.5,1.85,1.85,TopSport
