match,market,home_team,away_team,line,over_price,under_price,agency
Sydney Sixers v Perth Scorchers,Total Match Fours,Sydney Sixers,Perth Scorchers,27.5,1.97,1.77,Sportsbet
Adelaide Strikers v Brisbane Heat,Total Match Fours,Adelaide Strikers,Brisbane Heat,27.5,1.69,2.09,Sportsbet
