match,market_name,team,price,agency
Melbourne Stars v Melbourne Renegades,Most Match Fours,Melbourne Stars,1.67,BetRight
Melbourne Stars v Melbourne Renegades,Most Match Fours,Draw,11,BetRight
Melbourne Stars v Melbourne Renegades,Most Match Fours,Melbourne Renegades,2.45,BetRight
Perth Scorchers v Adelaide Strikers,Most Match Fours,Perth Scorchers,1.91,BetRight
Perth Scorchers v Adelaide Strikers,Most Match Fours,Draw,11,BetRight
Perth Scorchers v Adelaide Strikers,Most Match Fours,Adelaide Strikers,2.05,BetRight
