match,team,line,over_price,under_price,market,agency
Perth Scorchers v Brisbane Heat,Perth Scorchers,21.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Perth Scorchers v Brisbane Heat,Brisbane Heat,19.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Adelaide Strikers v Hobart Hurricanes,Adelaide Strikers,23.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,19.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
