match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,4.5,1.09,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,9.5,1.28,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,14.5,1.45,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Campbell Kellaway,15.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,19.5,1.7,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,22.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,24.5,2.05,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Campbell Kellaway,29.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,29.5,2.4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,39.5,3.3,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,49.5,4.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,74.5,12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Campbell Kellaway,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,4.5,1.09,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,9.5,1.28,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,14.5,1.45,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Colin Munro,15.5,1.6,2.2,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,19.5,1.7,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,22.5,2,1.72,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,24.5,2.05,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Colin Munro,29.5,2.7,1.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,29.5,2.4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,39.5,3.3,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,49.5,4.5,NA,TAB
