match,market,home_team,away_team,team,line,over_price,under_price,agency
Perth Scorchers v Brisbane Heat,Total Team Sixes,Perth Scorchers,Brisbane Heat,Perth Scorchers,6.5,1.97,1.77,Sportsbet
Perth Scorchers v Brisbane Heat,Total Team Sixes,Perth Scorchers,Brisbane Heat,Brisbane Heat,5.5,2.1,1.68,Sportsbet
Adelaide Strikers v Hobart Hurricanes,Total Team Sixes,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,5.5,1.87,1.87,Sportsbet
Adelaide Strikers v Hobart Hurricanes,Total Team Sixes,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,5.5,1.87,1.87,Sportsbet
