match,market_name,home_team,home_win,away_team,away_win,margin,agency
Hobart Hurricanes v Sydney Sixers,Head To Head,Hobart Hurricanes,1.7,Sydney Sixers,2.18,1.047,Bet365
Sydney Thunder v Melbourne Stars,Head To Head,Sydney Thunder,2.25,Melbourne Stars,1.65,1.051,Bet365
